temps,coeur
0.0,0.26000269876920745
0.1,0.5305852775016946
0.2,0.9832203067631377
0.30000000000000004,0.8627149835756984
0.4,0.07602580312939633
0.5,0.6465918946946847
0.6000000000000001,0.87146849354742
0.7000000000000001,0.6382776640935035
0.8,0.3158969600785495
0.9,0.8062106076970453
1.0,0.6432039542026451
1.1,0.017510087640458916
1.2000000000000002,0.184266648193952
1.3,0.5754013301562302
1.4000000000000001,0.6977618332102742
1.5,0.5353103843015646
1.6,0.6052496425764897
1.7000000000000002,0.3310271506302708
1.8,0.06222202517414577
1.9000000000000001,0.3411815656500857
2.0,0.2696449117324674
2.1,0.7306790236292553
2.2,0.6077160497447679
2.3000000000000003,0.8171996599310021
2.4000000000000004,0.058363553118611966
2.5,0.12952042276840448
2.6,0.9887310892061216
2.7,0.7969696375852445
2.8000000000000003,0.23306435668562409
2.9000000000000004,0.21048749008024892
3.0,0.12242050140597849
3.1,0.8533588232918007
3.2,0.951877503292535
3.3000000000000003,0.43429436329759064
3.4000000000000004,0.605145957666021
3.5,0.7947384257253025
3.6,0.37830970326807756
3.7,0.9012659677489094
3.8000000000000003,0.2222969670247713
3.9000000000000004,0.8413113411016295
4.0,0.7868547607305616
4.1000000000000005,0.5506819306665309
4.2,0.42006349732661086
4.3,0.9942244554868873
4.4,0.23449492324635168
4.5,0.5705122176464267
4.6000000000000005,0.5144125141531126
4.7,0.7963544426254998
4.800000000000001,0.12043365939781481
4.9,0.5850331498645058
